-4, 50, 15, 51
-37, -41, -15, 13
0, 98, 73, 99
-5, -9, 43, 39
-97, 11, 97, 85
35, 40, 39, 81
61, 44, 95, 70
79, 6, 95, 93
-41, 83, -40, 85
41, 77, 84, 91
91, -74, 100, 69
54, -43, 65, -5
-83, 0, 31, 67
70, 56, 79, 68
-1, -34, 42, 100
51, 81, 79, 90
68, 27, 72, 61
-95, -66, 83, 47
30, 62, 62, 69
72, 64, 83, 84
-37, -28, 63, 66
-23, -41, 16, 8
-3, 54, 37, 94
2, 23, 16, 80
-39, 75, 71, 83
-61, -90, -31, -4
44, -53, 46, 67
-86, -84, 49, 98
-7, -79, 11, -39
-28, -40, -16, -38
97, 82, 100, 87
2, -45, 95, 68
57, 62, 71, 91
69, 69, 96, 89
2, -47, 61, 1
67, 62, 100, 69
4, 92, 98, 100
65, 40, 92, 73
86, -16, 100, -9
38, -28, 75, 39
-37, -32, 52, 79
-44, -41, 83, 64
-34, -30, -8, -8
72, -8, 85, 44
-21, 71, 87, 94
-26, 44, 69, 54
-11, 56, -4, 73
-100, 47, 13, 59
0, -81, 86, -4
7, -44, 49, 46
-40, -40, 65, 69
-99, -33, 55, -22
21, -36, 84, 19
-55, 62, 12, 67
26, -64, 46, -20
-4, 78, 17, 97
-12, -63, 61, -61
-33, -66, 77, -24
69, -87, 75, 80
99, -16, 100, -7
-87, -48, -43, -16
-53, -86, -41, -40
85, 14, 100, 18
85, 31, 97, 98
92, 47, 93, 88
39, -83, 52, -24
43, 87, 62, 92
60, -28, 90, 48
19, -38, 98, 24
-37, -53, 57, 94
45, 59, 78, 61
43, 31, 89, 68
-48, 17, -7, 39
39, 86, 40, 89
-98, 62, 72, 72
72, 52, 91, 94
-69, -37, 8, 8
-70, -7, 64, 17
-99, 19, 40, 43
52, 55, 55, 57
31, 42, 34, 43
63, 65, 75, 85
-57, -94, -54, -64
70, -62, 94, -12
-84, 23, -7, 70
-66, 97, 68, 99
93, 10, 94, 24
38, 31, 57, 45
2, -34, 58, -12
-35, 29, 53, 34
-63, -15, 38, 69
-32, 62, -20, 77
17, 35, 71, 95
-49, 71, 48, 83
-88, 61, 52, 92
-81, 22, -52, 96
-49, -86, 88, 83
-54, 47, -7, 66
74, 66, 88, 87
-72, 93, 76, 97
-57, -41, 95, 29
31, -60, 41, 56
-89, -70, 67, 12
74, 15, 82, 97
-12, -58, -1, -54
62, 60, 93, 86
45, 84, 71, 91
-56, -41, 1, 43
-5, 89, 5, 90
27, 57, 59, 76
44, -17, 77, -2
69, -81, 88, -51
-82, 16, 4, 75
-42, -43, 54, 50
68, 73, 73, 98
81, -10, 88, 35
48, 68, 68, 78
-9, -38, 54, 47
3, -88, 52, 71
-30, -97, -24, 58
46, 51, 67, 71
90, 63, 92, 87
28, 75, 44, 89
96, -55, 98, -47
-44, 50, 48, 70
0, -94, 16, -15
-48, 88, 56, 93
-25, -88, 53, 73
-4, -30, 68, 72
-27, 80, 81, 81
66, 53, 79, 68
89, -4, 96, 79
-36, -28, -4, 49
40, -55, 73, -46
79, 13, 86, 84
65, -81, 100, 77
68, -9, 100, 81
70, -57, 77, 29
-96, 76, -6, 83
-11, -23, 71, 97
-49, 80, 12, 98
-38, -29, 95, -26
87, -58, 90, 76
-81, -25, -64, 50
-50, 88, -13, 96
6, -44, 76, 59
91, 31, 92, 56
6, -21, 82, 62
-70, 62, 21, 70
74, -26, 96, -4
-65, -20, 46, 21
60, -28, 100, 20
52, 76, 62, 87
45, 60, 60, 89
31, -3, 46, 99
2, 93, 57, 96
-5, 84, 16, 94
91, 62, 96, 95
-46, -43, 19, 91
89, 15, 93, 52
32, -7, 43, 15
-38, 96, 47, 99
66, 23, 99, 94
-42, 66, -29, 67
37, -33, 41, -10
96, -97, 99, 40
-14, -53, 60, 38
-59, 95, 23, 99
-66, -71, -47, 22
29, 15, 95, 58
-85, 36, 18, 62
80, 7, 85, 15
-14, -59, 73, 92
13, -50, 60, -23
74, -35, 86, 29
46, 7, 71, 98
-89, -28, 62, 50
-1, 2, 5, 73
3, -56, 29, 32
6, -72, 56, 26
73, 65, 95, 74
-81, -20, 67, 66
30, 86, 98, 94
55, -63, 76, 2
83, -84, 99, 2
44, 75, 47, 84
56, -63, 63, 66
44, -74, 82, -49
71, -44, 98, 73
8, -30, 60, 32
-66, -2, 68, 62
28, 54, 84, 94
-89, 94, 100, 100
49, -13, 100, 78
39, -67, 41, 26
-79, 64, 67, 91
70, 91, 86, 93
17, 95, 39, 97
34, -95, 35, 66
25, -13, 28, 42
33, -47, 84, 84
-92, 31, 41, 71
75, 97, 91, 100
-93, -53, -43, -34
-70, -75, -7, 38
-31, -45, 51, -5
-43, -49, 93, -27
1, 68, 22, 91
32, 65, 50, 69
-29, -78, 52, -61
41, 10, 95, 58
-86, 85, -64, 92
26, 70, 100, 93
-20, 91, 60, 92
-54, -61, 67, 53
32, -12, 95, -5
-61, 46, 8, 54
-100, -13, -49, 100
19, -17, 23, 83
55, 3, 59, 72
98, 29, 100, 57
-32, 7, 99, 65
64, 23, 87, 64
80, -95, 94, -91
-83, -1, -70, 48
-12, 99, 79, 100
0, -62, 90, 87
-13, -78, -12, 95
24, 80, 53, 93
-75, 10, -19, 35
71, 47, 86, 52
12, -70, 89, 72
20, 42, 30, 100
-67, -53, 29, -40
-93, 94, -35, 96
24, -84, 87, 83
54, -47, 77, -32
61, 68, 63, 96
-100, -7, 67, 15
-62, 95, -56, 98
45, -38, 67, 69
-8, 52, 71, 74
-80, 2, 60, 85
-37, 8, 76, 36
6, -19, 50, 73
-3, -1, 47, 52
11, 19, 25, 76
-44, -54, 93, 50
82, 58, 94, 98
-100, 86, 45, 97
3, 2, 96, 58
-48, 89, 57, 91
-48, 79, 62, 85
-20, 67, 10, 72
90, -82, 92, 63
8, -56, 64, 14
-95, -23, 68, -7
3, 85, 55, 88
21, 77, 95, 87
56, -95, 70, 96
24, 83, 60, 93
15, -31, 89, 16
-53, 15, 84, 16
47, 10, 71, 51
40, 92, 47, 97
-47, 25, -6, 83
-28, 45, 39, 68
61, -16, 71, 10
34, -68, 100, 46
-43, -31, 11, 60
86, 51, 93, 97
-38, 54, -24, 100
35, -23, 79, 54
52, -44, 100, 59
-29, 80, 70, 97
93, 83, 94, 97
-66, -13, -17, 100
29, -72, 79, 27
57, -96, 91, -76
46, -10, 52, 58
-42, 47, -7, 67
-84, -99, -35, -90
64, -66, 68, -28
