-25, -99, 3, 95
36, 22, 99, 66
-16, 28, 21, 54
24, 91, 58, 93
-58, 24, 3, 90
-63, 20, 60, 88
-77, 55, 93, 91
-52, -9, 1, 84
2, 92, 72, 99
-68, -97, -50, 14
32, 48, 67, 81
-9, 93, 26, 97
-26, -80, 68, -36
3, -4, 88, 3
-93, 46, -29, 53
82, 80, 84, 97
26, -41, 28, -17
-53, -1, 31, 2
-98, -23, -93, 21
-48, -69, 33, -9
-60, -79, -20, 47
57, 4, 62, 65
70, 23, 83, 96
-82, 94, -14, 100
-71, 23, 39, 26
63, 88, 72, 89
64, 40, 74, 79
96, 26, 99, 86
55, -1, 65, 37
-42, -35, 13, 79
44, -79, 72, -17
10, -39, 20, -21
-94, 57, -92, 95
-30, -7, 68, 48
93, -67, 98, 25
60, 71, 96, 86
13, 86, 46, 97
6, -33, 94, 74
30, 18, 46, 86
30, 75, 63, 96
16, 72, 31, 88
-55, 18, 95, 70
64, 9, 95, 78
-24, 71, 93, 87
88, -42, 93, 61
48, 80, 100, 88
92, 53, 96, 56
50, -92, 93, -59
-30, 48, 13, 89
-13, -64, 56, -12
69, -59, 76, 42
-52, -37, -36, 94
-6, -56, 16, -26
-98, 70, 30, 83
76, -92, 93, -45
-21, 77, 28, 78
-53, 71, -34, 98
-17, -24, 90, 76
12, 64, 38, 96
-56, 4, 17, 81
27, -37, 86, 29
72, 66, 99, 79
1, 66, 26, 100
-33, 70, -26, 95
-58, -85, 55, 43
-96, -42, 55, 28
-39, -73, 67, -20
56, -52, 86, 9
-59, 77, 88, 88
-78, -75, 17, 55
42, -64, 96, -10
71, 56, 80, 93
-85, 48, -48, 83
81, 72, 86, 80
-92, -38, -26, 35
-1, -64, 56, 40
-1, 33, 51, 91
-52, -13, 56, 44
-47, 46, -36, 72
71, -63, 84, 10
-3, -74, 65, 51
-12, -9, -4, 41
-17, -51, 97, 70
38, 31, 58, 72
-57, -16, 36, 7
26, -29, 57, 52
-13, -2, 46, 28
-52, 77, 100, 88
31, 83, 64, 87
-13, 15, -12, 40
50, 77, 74, 78
79, 84, 86, 92
74, -43, 91, 68
-34, 26, 25, 71
-53, -67, 83, 4
-3, -68, 66, -19
-59, 81, 38, 93
-12, 1, 56, 53
13, -50, 96, 39
-70, 73, -51, 77
13, 73, 57, 74
32, 22, 89, 59
-22, 64, 27, 93
-14, 90, 33, 97
0, -2, 48, 95
61, -33, 83, -4
-36, 85, 42, 95
37, -96, 53, 44
65, 82, 99, 83
-98, 32, -23, 63
-87, -63, -35, 50
-36, -11, -27, 14
21, 23, 22, 49
-88, 7, -26, 41
-57, 50, -8, 79
25, 93, 79, 95
-1, 65, 84, 82
-79, 85, -37, 100
-37, -91, 78, -3
-58, -10, 94, 73
68, 24, 97, 93
-59, -67, -58, 17
-35, -74, 67, 100
-64, 93, -24, 98
23, -14, 32, 79
11, -66, 100, 92
-17, 89, 67, 100
27, 80, 44, 82
60, -30, 87, 6
7, -12, 66, 76
-34, 13, 55, 19
76, 51, 98, 94
-69, -82, 40, -74
12, -100, 68, -30
80, 50, 82, 68
74, -75, 96, -20
44, -67, 72, -27
-83, 64, 68, 67
-26, -99, 47, 5
64, 22, 84, 74
11, 62, 72, 94
-98, 3, -64, 18
-77, 18, -13, 76
98, -10, 100, 43
87, 62, 91, 75
86, 10, 88, 76
-7, -22, 87, 12
0, -11, 67, 45
-49, -87, 46, -66
-66, 55, -41, 65
-72, 31, -25, 52
96, -71, 98, 80
45, -51, 63, -4
-33, -41, 25, 86
87, 94, 91, 96
34, -50, 54, 91
98, 83, 100, 99
-82, 99, 45, 100
40, -24, 64, 94
-40, 96, 42, 97
50, -9, 71, 8
38, 17, 45, 99
